drive_id,name,map_id,map_url
1m0KAc7J01xirK055qpeiXkQ-06ue0t0X,Adrian Seventh-day Adventist Company,E016551,https://drive.google.com/drive/folders/1m0KAc7J01xirK055qpeiXkQ-06ue0t0X
1m-tUD5j0jUA5ReMgW51QZCB8FrCe-elg,Allegan Seventh-day Adventist Church,E016553,https://drive.google.com/drive/folders/1m-tUD5j0jUA5ReMgW51QZCB8FrCe-elg
1ltt1Ymj1xJoGaUU_oMIOMusGn1txTe-j,Alma Twin Cities Seventh-day Adventist Church,E016724,https://drive.google.com/drive/folders/1ltt1Ymj1xJoGaUU_oMIOMusGn1txTe-j
1lpFCGOYamf-uZmjcm56l504KFjd83NbH,Alpena Seventh-day Adventist Church,E016554,https://drive.google.com/drive/folders/1lpFCGOYamf-uZmjcm56l504KFjd83NbH
1loHfrsvOdz-wY48eTX3JofMd3viDOt58,Andrews Korean Seventh-day Adventist Church,E016547,https://drive.google.com/drive/folders/1loHfrsvOdz-wY48eTX3JofMd3viDOt58
1llcC4uOMktcDFkngEVY-OjfQ7iUP8XE8,Ann Arbor Central Korean Seventh-day Adventist Company,E032757,https://drive.google.com/drive/folders/1llcC4uOMktcDFkngEVY-OjfQ7iUP8XE8
1ljuPK68EwHKaNO9sd9hPx5LUaRLCTLXO,Ann Arbor Seventh-day Adventist Church,E016555,https://drive.google.com/drive/folders/1ljuPK68EwHKaNO9sd9hPx5LUaRLCTLXO
1lapCL7oL4MHIcG1rCcGJlwpaiiSoFrL6,Ann Arbor Spanish Seventh-day Adventist Church,E019724,https://drive.google.com/drive/folders/1lapCL7oL4MHIcG1rCcGJlwpaiiSoFrL6
1l_uymIL-AGGPDvlSjhYtoCbnvEwgKM9W,Bad Axe Seventh-day Adventist Church,E016557,https://drive.google.com/drive/folders/1l_uymIL-AGGPDvlSjhYtoCbnvEwgKM9W
1lZzCS8FstbYlio8WlkP23gKFQUI3tVJd,Battle Creek Korean Seventh-day Adventist Company,E020997,https://drive.google.com/drive/folders/1lZzCS8FstbYlio8WlkP23gKFQUI3tVJd
1lZlad-mhwm8gnt2KD9scT5Vb64E7g8nS,Battle Creek Spanish Seventh-day Adventist Church,E020099,https://drive.google.com/drive/folders/1lZlad-mhwm8gnt2KD9scT5Vb64E7g8nS
